v8-version,6,2,414,50,0
code-creation,Stub,3,2688,0x312282e95e40,2088,"RecordWriteStub"
code-creation,Stub,3,2688,0x312282e966e0,884,"RecordWriteStub"
code-creation,Stub,3,2689,0x312282e96ac0,884,"RecordWriteStub"
code-creation,Stub,3,2690,0x312282e96ea0,2109,"RecordWriteStub"
code-creation,Stub,3,2691,0x312282e97740,882,"RecordWriteStub"
code-creation,Stub,3,2692,0x312282e97b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2692,0x312282e97c60,235,"NumberToStringStub"
code-creation,Stub,3,2693,0x312282e97dc0,2125,"RecordWriteStub"
code-creation,Stub,3,2694,0x312282e98680,2142,"RecordWriteStub"
code-creation,Stub,3,2695,0x312282e98f40,884,"RecordWriteStub"
code-creation,Stub,3,2696,0x312282e99320,2104,"RecordWriteStub"
code-creation,Stub,3,2696,0x312282e99bc0,2088,"RecordWriteStub"
code-creation,Stub,3,2697,0x312282e9a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2698,0x312282e9a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,2699,0x312282e9ae60,87,"DoubleToIStub"
code-creation,Stub,3,2699,0x312282e9af20,2076,"RecordWriteStub"
code-creation,Stub,3,2700,0x312282e9b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,2701,0x312282e9c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2702,0x312282e9c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,2703,0x312282e9c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2703,0x312282e9c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2704,0x312282e9c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,2705,0x312282e9c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,2706,0x312282e9ce80,2126,"RecordWriteStub"
code-creation,Stub,3,2707,0x312282e9d740,2076,"RecordWriteStub"
code-creation,Stub,3,2707,0x312282e9dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,2708,0x312282e9e860,2099,"RecordWriteStub"
code-creation,Stub,3,2709,0x312282e9f100,2084,"RecordWriteStub"
code-creation,Stub,3,2710,0x312282e9f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,2711,0x312282ea0280,2087,"RecordWriteStub"
code-creation,Stub,3,2711,0x312282ea0b20,2072,"RecordWriteStub"
code-creation,Stub,3,2712,0x312282ea13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2713,0x312282ea1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,2714,0x312282ea1860,2126,"RecordWriteStub"
code-creation,Handler,4,2714,0x312282ea2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,2715,0x312282ea2240,2088,"RecordWriteStub"
code-creation,Handler,4,2716,0x312282ea2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,2717,0x312282ea2c00,3146,"SubStringStub"
code-creation,Stub,3,2718,0x312282ea38c0,269,"CEntryStub"
code-creation,Stub,3,2718,0x312282ea3a40,2106,"RecordWriteStub"
code-creation,Stub,3,2725,0x312282ea42e0,2103,"RecordWriteStub"
code-creation,Stub,3,2726,0x312282ea4b80,2110,"RecordWriteStub"
code-creation,Stub,3,2726,0x312282ea5420,882,"RecordWriteStub"
code-creation,Stub,3,2727,0x312282ea5800,2084,"RecordWriteStub"
code-creation,Stub,3,2728,0x312282ea60a0,2072,"RecordWriteStub"
code-creation,Stub,3,2729,0x312282ea6920,2106,"RecordWriteStub"
code-creation,Stub,3,2729,0x312282ea71c0,2126,"RecordWriteStub"
code-creation,Stub,3,2730,0x312282ea7a80,2113,"RecordWriteStub"
code-creation,Stub,3,2731,0x312282ea8340,463,"StringAddStub"
code-creation,Builtin,5,2732,0x312282ea8580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,2733,0x312282ea86a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2734,0x312282ea8780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,2734,0x312282ea8900,2117,"RecordWriteStub"
code-creation,Stub,3,2735,0x312282ea91c0,2142,"RecordWriteStub"
code-creation,Stub,3,2736,0x312282ea9a80,2100,"RecordWriteStub"
code-creation,Stub,3,2737,0x312282eaa320,2117,"RecordWriteStub"
code-creation,Stub,3,2737,0x312282eaabe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2738,0x312282eaad40,2130,"RecordWriteStub"
code-creation,Stub,3,2739,0x312282eab600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2740,0x312282eab7e0,2076,"RecordWriteStub"
code-creation,Stub,3,2741,0x312282eac060,2142,"RecordWriteStub"
code-creation,Stub,3,2741,0x312282eac920,491,"StringAddStub"
code-creation,Stub,3,2742,0x312282eacb80,2088,"RecordWriteStub"
code-creation,Stub,3,2743,0x312282ead420,2125,"RecordWriteStub"
code-creation,Stub,3,2744,0x312282eadce0,2084,"RecordWriteStub"
code-creation,Stub,3,2745,0x312282eae580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,2745,0x312282eae6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,2746,0x312282eae9a0,2126,"RecordWriteStub"
code-creation,Stub,3,2747,0x312282eaf260,2109,"RecordWriteStub"
code-creation,Stub,3,2748,0x312282eafb00,2072,"RecordWriteStub"
code-creation,Stub,3,2749,0x312282eb0380,2130,"RecordWriteStub"
code-creation,Stub,3,2749,0x312282eb0c40,2125,"RecordWriteStub"
code-creation,Handler,4,2750,0x312282eb1500,552,"An IC handler from the snapshot"
code-creation,Stub,3,2751,0x312282eb17a0,2088,"RecordWriteStub"
code-creation,Stub,3,2752,0x312282eb2040,2129,"RecordWriteStub"
code-creation,Stub,3,2753,0x312282eb2900,1225,"RecordWriteStub"
code-creation,Stub,3,2753,0x312282eb2e40,269,"CEntryStub"
code-creation,Stub,3,2754,0x312282eb2fc0,2100,"RecordWriteStub"
code-creation,Stub,3,2755,0x312282eb3860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2756,0x312282eb39a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2757,0x312282eb3b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,2757,0x312282eb3e60,2091,"RecordWriteStub"
code-creation,Stub,3,2758,0x312282eb4700,2130,"RecordWriteStub"
code-creation,Handler,4,2759,0x312282eb4fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,2760,0x312282eb50c0,2076,"RecordWriteStub"
code-creation,Stub,3,2760,0x312282eb5940,884,"RecordWriteStub"
code-creation,Stub,3,2761,0x312282eb5d20,331,"CallApiGetterStub"
code-creation,Stub,3,2762,0x312282eb5ee0,261,"MathPowStub"
code-creation,Stub,3,2763,0x312282eb6060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2764,0x312282eb6200,2091,"RecordWriteStub"
code-creation,Stub,3,2764,0x312282eb6aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2765,0x312282eb6be0,2134,"RecordWriteStub"
code-creation,Stub,3,2766,0x312282eb74a0,2126,"RecordWriteStub"
code-creation,Stub,3,2767,0x312282eb7d60,1207,"RecordWriteStub"
code-creation,Stub,3,2767,0x312282eb8280,2079,"RecordWriteStub"
code-creation,Stub,3,2768,0x312282eb8b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2769,0x312282eb8d00,2099,"RecordWriteStub"
code-creation,Stub,3,2770,0x312282eb95a0,2160,"RecordWriteStub"
code-creation,Stub,3,2771,0x312282eb9e80,2088,"RecordWriteStub"
code-creation,Stub,3,2771,0x312282eba720,89,"DoubleToIStub"
code-creation,Stub,3,2775,0x312282eba7e0,2118,"RecordWriteStub"
code-creation,Stub,3,2776,0x312282ebb0a0,2104,"RecordWriteStub"
code-creation,Handler,4,2777,0x312282ebb940,132,"An IC handler from the snapshot"
code-creation,Stub,3,2778,0x312282ebba40,87,"DoubleToIStub"
code-creation,Stub,3,2779,0x312282ebbb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2779,0x312282ebbcc0,2100,"RecordWriteStub"
code-creation,Handler,4,2780,0x312282ebc560,612,"An IC handler from the snapshot"
code-creation,Stub,3,2781,0x312282ebc840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2782,0x312282ebc9e0,2118,"RecordWriteStub"
code-creation,Stub,3,2782,0x312282ebd2a0,2091,"RecordWriteStub"
code-creation,Stub,3,2783,0x312282ebdb40,2087,"RecordWriteStub"
code-creation,Stub,3,2784,0x312282ebe3e0,2145,"RecordWriteStub"
code-creation,Stub,3,2785,0x312282ebecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,2786,0x312282ebef60,884,"RecordWriteStub"
code-creation,Stub,3,2786,0x312282ebf340,2088,"RecordWriteStub"
code-creation,Stub,3,2787,0x312282ebfbe0,2087,"RecordWriteStub"
code-creation,Stub,3,2788,0x312282ec0480,2088,"RecordWriteStub"
code-creation,Stub,3,2789,0x312282ec0d20,308,"CEntryStub"
code-creation,Stub,3,2789,0x312282ec0ec0,2130,"RecordWriteStub"
code-creation,Stub,3,2790,0x312282ec1780,2130,"RecordWriteStub"
code-creation,Stub,3,2791,0x312282ec2040,2148,"RecordWriteStub"
code-creation,Stub,3,2792,0x312282ec2920,2118,"RecordWriteStub"
code-creation,Stub,3,2792,0x312282ec31e0,2075,"RecordWriteStub"
code-creation,Stub,3,2793,0x312282ec3a60,1246,"RecordWriteStub"
code-creation,Handler,4,2794,0x312282ec3fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,2795,0x312282ec4260,2126,"RecordWriteStub"
code-creation,Stub,3,2796,0x312282ec4b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2796,0x312282ec4c60,2063,"RecordWriteStub"
code-creation,Stub,3,2797,0x312282ec54e0,2100,"RecordWriteStub"
code-creation,Stub,3,2798,0x312282ec5d80,2103,"RecordWriteStub"
code-creation,Handler,4,2799,0x312282ec6620,552,"An IC handler from the snapshot"
code-creation,Stub,3,2799,0x312282ec68c0,896,"RecordWriteStub"
code-creation,Stub,3,2800,0x312282ec6ca0,2100,"RecordWriteStub"
code-creation,Stub,3,2801,0x312282ec7540,2104,"RecordWriteStub"
code-creation,Stub,3,2802,0x312282ec7de0,1246,"RecordWriteStub"
code-creation,Stub,3,2802,0x312282ec8320,2100,"RecordWriteStub"
code-creation,Stub,3,2803,0x312282ec8bc0,2072,"RecordWriteStub"
code-creation,Stub,3,2804,0x312282ec9440,2099,"RecordWriteStub"
code-creation,Stub,3,2805,0x312282ec9ce0,2134,"RecordWriteStub"
code-creation,Stub,3,2806,0x312282eca5a0,2104,"RecordWriteStub"
code-creation,Stub,3,2806,0x312282ecae40,2100,"RecordWriteStub"
code-creation,Stub,3,2807,0x312282ecb6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,2808,0x312282ecb8a0,25,"Abort"
code-creation,Stub,3,2809,0x312282ecb920,2114,"RecordWriteStub"
code-creation,Builtin,5,2810,0x312282ecc1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,2810,0x312282ecc260,28,"ReturnReceiver"
code-creation,Builtin,5,2811,0x312282ecc2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,2812,0x312282ecc500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,2813,0x312282ecc660,223,"CreateIterResultObject"
code-creation,Builtin,5,2814,0x312282ecc7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,2815,0x312282ecc9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,2816,0x312282eccc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,2817,0x312282ecd2a0,76,"ToBoolean"
code-creation,Builtin,5,2817,0x312282ecd360,3876,"ResolveNativePromise"
code-creation,Builtin,5,2818,0x312282ece300,284,"StringEqual"
code-creation,Builtin,5,2819,0x312282ece480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,2820,0x312282ecf900,668,"RejectNativePromise"
code-creation,Builtin,5,2821,0x312282ecfc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,2822,0x312282ed0460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,2822,0x312282ed0b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,2826,0x312282ed0f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,2827,0x312282ed1120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,2828,0x312282ed12c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,2829,0x312282ed13a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,2830,0x312282ed1880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,2831,0x312282ed1c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,2832,0x312282ed2080,15,"Illegal"
code-creation,Builtin,5,2833,0x312282ed2100,15,"ObjectAssign"
code-creation,Builtin,5,2834,0x312282ed2180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,2834,0x312282ed2200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,2835,0x312282ed2280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,2836,0x312282ed2300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,2837,0x312282ed2380,15,"ObjectIs"
code-creation,Builtin,5,2838,0x312282ed2400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,2838,0x312282ed2480,15,"ObjectSeal"
code-creation,Builtin,5,2839,0x312282ed2500,848,"ObjectCreate"
code-creation,Builtin,5,2840,0x312282ed28c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,2841,0x312282ed2940,15,"ObjectDefineProperty"
code-creation,Builtin,5,2842,0x312282ed29c0,15,"ObjectFreeze"
code-creation,Builtin,5,2842,0x312282ed2a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,2843,0x312282ed2ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,2844,0x312282ed2b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,2845,0x312282ed2bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,2845,0x312282ed2c40,15,"ObjectIsSealed"
code-creation,Builtin,5,2846,0x312282ed2cc0,540,"ObjectKeys"
code-creation,Builtin,5,2847,0x312282ed2f40,15,"ObjectEntries"
code-creation,Builtin,5,2847,0x312282ed2fc0,15,"ObjectValues"
code-creation,Builtin,5,2848,0x312282ed3040,15,"ObjectDefineGetter"
code-creation,Builtin,5,2849,0x312282ed30c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,2850,0x312282ed3140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,2850,0x312282ed3940,15,"ObjectLookupGetter"
code-creation,Builtin,5,2851,0x312282ed39c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,2852,0x312282ed3a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,2853,0x312282ed3b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,2854,0x312282ed3c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,2854,0x312282ed4100,132,"ClassOf"
code-creation,Builtin,5,2855,0x312282ed4200,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,2856,0x312282ed42a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,2857,0x312282ed4320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,2858,0x312282ed43a0,15,"FunctionConstructor"
code-creation,Builtin,5,2858,0x312282ed4420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,2859,0x312282ed44c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,2860,0x312282ed4a00,81,"CallVarargs"
code-creation,Builtin,5,2861,0x312282ed4ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,2862,0x312282ed4e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,2862,0x312282ed4f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,2863,0x312282ed4fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,2864,0x312282ed5020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,2865,0x312282ed5180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,2866,0x312282ed5220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,2866,0x312282ed56a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,2867,0x312282ed5b20,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,2868,0x312282ed5c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,2869,0x312282ed5d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,2870,0x312282ed5e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,2871,0x312282ed5f80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,2872,0x312282ed60a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,2876,0x312282ed61a0,20,"ArrayConstructor"
code-creation,Builtin,5,2876,0x312282ed6220,99,"ArrayIsArray"
code-creation,Builtin,5,2877,0x312282ed6300,15,"ArrayConcat"
code-creation,Builtin,5,2878,0x312282ed6380,651,"FastArrayPop"
code-creation,Builtin,5,2879,0x312282ed6680,15,"ArrayPop"
code-creation,Builtin,5,2880,0x312282ed6700,2400,"FastArrayPush"
code-creation,Builtin,5,2881,0x312282ed70c0,15,"ArrayPush"
code-creation,Builtin,5,2881,0x312282ed7140,1056,"FastArrayShift"
code-creation,Builtin,5,2882,0x312282ed75c0,15,"ArrayShift"
code-creation,Builtin,5,2883,0x312282ed7640,15,"ArrayUnshift"
code-creation,Builtin,5,2884,0x312282ed76c0,15,"ArraySlice"
code-creation,Builtin,5,2884,0x312282ed7740,15,"ArraySplice"
code-creation,Builtin,5,2885,0x312282ed77c0,1264,"ArrayIncludes"
code-creation,Builtin,5,2886,0x312282ed7d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,2887,0x312282ed81a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,2887,0x312282ed83a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,2888,0x312282ed8620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,2889,0x312282ed88a0,1509,"ArrayForEach"
code-creation,Builtin,5,2890,0x312282ed8f00,538,"ToLength"
code-creation,Builtin,5,2891,0x312282ed9180,249,"NonNumberToNumber"
code-creation,Builtin,5,2891,0x312282ed92e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,2892,0x312282ed9400,2784,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,2893,0x312282ed9f40,1936,"ProxyHasProperty"
code-creation,Builtin,5,2894,0x312282eda740,2028,"HasProperty"
code-creation,Builtin,5,2895,0x312282edafa0,5774,"ArrayFilter"
code-creation,Builtin,5,2895,0x312282edc6a0,4696,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,2896,0x312282edd960,2764,"ArrayMap"
code-creation,Builtin,5,2897,0x312282ede4a0,2832,"ArrayMapLoopContinuation"
code-creation,Builtin,5,2898,0x312282edf020,1761,"ArrayEvery"
code-creation,Builtin,5,2898,0x312282edf780,2880,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,2899,0x312282ee0320,1737,"ArraySome"
code-creation,Builtin,5,2900,0x312282ee0a60,2864,"ArraySomeLoopContinuation"
code-creation,Builtin,5,2901,0x312282ee1600,1643,"ArrayReduce"
code-creation,Builtin,5,2902,0x312282ee1ce0,2872,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,2902,0x312282ee2880,1788,"ArrayReduceRight"
code-creation,Builtin,5,2903,0x312282ee2fe0,2864,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,2904,0x312282ee3b80,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,2905,0x312282ee47c0,47,"NumberConstructor"
code-creation,Builtin,5,2906,0x312282ee4860,241,"ToNumber"
