Statistical profiling result from isolate-0x25c2df0-v8.log, (4059 ticks, 199 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: ~onceWrapper events.js:307:21
      2    0.0%    0.1%  LazyCompile: ~normalizeArgs net.js:127:23
      2    0.0%    0.1%  LazyCompile: ~isRealObject /home/gofrendi/Projects/chimera-framework/lib/util.js:166:23
      2    0.0%    0.1%  LazyCompile: ~isNullOrUndefined /home/gofrendi/Projects/chimera-framework/lib/util.js:178:28
      2    0.0%    0.1%  LazyCompile: ~isLegalPort internal/net.js:5:21
      2    0.0%    0.1%  LazyCompile: ~injectSpecialProperties /home/gofrendi/Projects/chimera-framework/lib/core.js:514:36
      2    0.0%    0.1%  LazyCompile: ~getTrimmedArrayElements /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:194:36
      2    0.0%    0.1%  LazyCompile: ~getName _http_agent.js:116:43
      2    0.0%    0.1%  LazyCompile: ~getJsExecutable /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:291:28
      2    0.0%    0.1%  LazyCompile: ~getChainAsObject /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:80:29
      2    0.0%    0.1%  LazyCompile: ~evaluateObjectStatement /home/gofrendi/Projects/chimera-framework/lib/core.js:147:36
      2    0.0%    0.1%  LazyCompile: ~endReadableNT _stream_readable.js:1059:23
      2    0.0%    0.1%  LazyCompile: ~emitReadable _stream_readable.js:498:22
      2    0.0%    0.1%  LazyCompile: ~emit events.js:156:44
      2    0.0%    0.1%  LazyCompile: ~defineDefaultChainOut /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:274:34
      2    0.0%    0.1%  LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:275:36
      2    0.0%    0.1%  LazyCompile: ~debug /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:135:16
      2    0.0%    0.1%  LazyCompile: ~assignValue /home/gofrendi/Projects/chimera-framework/lib/core-dollar.js:67:22
      2    0.0%    0.1%  LazyCompile: ~addChunk _stream_readable.js:261:18
      2    0.0%    0.1%  LazyCompile: ~_send _http_outgoing.js:213:49
      2    0.0%    0.1%  LazyCompile: ~_addHeaderLine _http_incoming.js:286:24
      2    0.0%    0.1%  LazyCompile: ~Socket.end net.js:508:32
      2    0.0%    0.1%  LazyCompile: ~Socket._writeGeneric net.js:721:42
      2    0.0%    0.1%  LazyCompile: ~Socket._destroy net.js:547:37
      2    0.0%    0.1%  LazyCompile: ~Request.end /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:1504:34
      2    0.0%    0.1%  LazyCompile: ~Module.require module.js:593:36
      2    0.0%    0.1%  LazyCompile: ~EventEmitter events.js:27:22
      2    0.0%    0.1%  LazyCompile: ~Caseless.has /home/gofrendi/Projects/chimera-framework/node_modules/caseless/index.js:18:35
      2    0.0%    0.1%  LazyCompile: ~<anonymous> native typedarray.js:937:48
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:778:34
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:520:18
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:1122:27
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:1114:28
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/lib/core.js:335:12
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/lib/core.js:254:14
      2    0.0%    0.1%  LazyCompile: *getTidyChain /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:493:25
      2    0.0%    0.1%  LazyCompile: *getSmartSplitted /home/gofrendi/Projects/chimera-framework/lib/util.js:97:27
      2    0.0%    0.1%  LazyCompile: *emit events.js:156:44
      2    0.0%    0.1%  LazyCompile: *Request.onRequestResponse /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:881:48
      2    0.0%    0.1%  LazyCompile: *Readable.on _stream_readable.js:771:33
      2    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
      2    0.0%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      2    0.0%    0.1%  Builtin: StoreICStrict_Uninitialized
      2    0.0%    0.1%  Builtin: RegExpPrototypeExec
      2    0.0%    0.1%  Builtin: LoadIC_Uninitialized
      2    0.0%    0.1%  Builtin: LoadICProtoArray
      2    0.0%    0.1%  Builtin: FastNewObject
      2    0.0%    0.1%  Builtin: FastNewClosure
      2    0.0%    0.1%  Builtin: DeleteProperty
      2    0.0%    0.1%  Builtin: Construct {1}
      2    0.0%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  Stub: StringAddStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: JSEntryStub
      1    0.0%    0.0%  Stub: InternalArrayConstructorStub
      1    0.0%    0.0%  Stub: ElementsTransitionAndStoreStub
      1    0.0%    0.0%  RegExp: ^([a-z]+):\\/\\/[^\\s/$.?#].[^\\s]*$
      1    0.0%    0.0%  RegExp: \\r|\\n
      1    0.0%    0.0%  LazyCompile: ~validateHeader _http_outgoing.js:485:24
      1    0.0%    0.0%  LazyCompile: ~validateAsyncId internal/async_hooks.js:113:25
      1    0.0%    0.0%  LazyCompile: ~v4 /home/gofrendi/Projects/chimera-framework/node_modules/uuid/v4.js:4:12
      1    0.0%    0.0%  LazyCompile: ~undestroy internal/streams/destroy.js:46:19
      1    0.0%    0.0%  LazyCompile: ~tryOnImmediate timers.js:747:24
      1    0.0%    0.0%  LazyCompile: ~tickDone internal/process/next_tick.js:88:20
      1    0.0%    0.0%  LazyCompile: ~spliceOne internal/util.js:273:19
      1    0.0%    0.0%  LazyCompile: ~slice buffer.js:966:40
      1    0.0%    0.0%  LazyCompile: ~setImmediate timers.js:826:22
      1    0.0%    0.0%  LazyCompile: ~setHeader _http_outgoing.js:497:57
      1    0.0%    0.0%  LazyCompile: ~self.callback /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:181:30
      1    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:819:17
      1    0.0%    0.0%  LazyCompile: ~resume _stream_readable.js:812:16
      1    0.0%    0.0%  LazyCompile: ~responseKeepAlive _http_client.js:563:27
      1    0.0%    0.0%  LazyCompile: ~resp.hasHeader /home/gofrendi/Projects/chimera-framework/node_modules/caseless/index.js:56:29
      1    0.0%    0.0%  LazyCompile: ~resolve path.js:1156:28
      1    0.0%    0.0%  LazyCompile: ~require internal/module.js:8:19
      1    0.0%    0.0%  LazyCompile: ~removeListener events.js:355:28
      1    0.0%    0.0%  LazyCompile: ~read _http_incoming.js:91:47
      1    0.0%    0.0%  LazyCompile: ~parserOnMessageComplete _http_common.js:145:33
      1    0.0%    0.0%  LazyCompile: ~onwriteStateUpdate _stream_writable.js:425:28
      1    0.0%    0.0%  LazyCompile: ~onlookup dns.js:90:18
